"CODIGO","NOMBRE","CATEGORIA","TECNOLOGIA","ESTADO","FECHA_INSTALACION","FECHA_SUSPENSION","ALTITUD","LATITUD","LONGITUD","DEPARTAMENTO","MUNICIPIO","AREA_OPERATIVA","ENTIDAD","AREA_HIDROGRAFICA","ZONA_HIDROGRAFICA","SUBZONA_HIDROGRAFICA","CORRIENTE","OBSERVACION","SUBRED"
26090600,"CAMPOHERMOSO  [26090600]","Pluviométrica","Convencional","Activa","15/05/1971",,1900,"3,8666666670","-76,15","Valle Del Cauca","Guacarí","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Guadalajara y San Pedro",,,
26090610,"BALCILLAS  [26090610]","Pluviométrica","Convencional","Suspendida","15/08/1969","15/02/1982",2400,"3,4833333330","-76,15","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26090620,"ANGOSTURAS  [26090620]","Pluviométrica","Convencional","Activa","15/11/1971",,1221,"3,9833333330","-76,20","Valle Del Cauca","San Pedro","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Guadalajara y San Pedro",,,
26090640,"ORISOL  [26090640]","Pluviométrica","Convencional","Suspendida","15/01/1971","15/08/1975",2600,"3,5666666670","-76,10","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26090650,"POBLADO EL  [26090650]","Pluviométrica","Convencional","Activa","15/02/1971",,950,"4,10","-76,25","Valle Del Cauca","Tuluá","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Tulua y Morales",,,
26090670,"ROSARIO EL HDA  [26090670]","Pluviométrica","Convencional","Suspendida","15/05/1960","15/04/1965",3000,"3,5833333330","-76,30","Valle Del Cauca","El Cerrito","Area Operativa 09 - Cauca-Valle-Caldas","INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26090680,"ALGODONERA GJA  [26090680]","Pluviográfica","Convencional","Suspendida","15/04/1939","15/04/1944",1000,"3,90","-76,28333333","Valle Del Cauca","Buga","Area Operativa 09 - Cauca-Valle-Caldas","INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI","Magdalena Cauca","Cauca","Ríos Guadalajara y San Pedro",,,
26090690,"LA CEJA - AUT [26090690]","Limnigráfica","Automática con Telemetría","Activa","01/07/2017",,3052,"3,7063861110","-76,0164916670","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito","RÍO CAUCA","Creación de estaciones de CVC no migradas a dhime",
26090700,"JARDIN BOTANICO  [26090700]","Pluviométrica","Convencional","Activa","15/05/1971",,970,"4,0833333330","-76,25","Valle Del Cauca","Tuluá","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Tulua y Morales",,,
26090720,"RITA  [26090720]","Pluviométrica","Convencional","Activa","15/03/1937",,1000,"3,5666666670","-76,28333333","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26090730,"BETANIA  [26090730]","Pluviométrica","Convencional","Activa","15/02/1978",,1026,"3,65","-76,26666667","Valle Del Cauca","El Cerrito","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26090740,"ESMERALDA LA  [26090740]","Pluviométrica","Convencional","Activa","15/03/1978",,1010,"3,6166666670","-76,25","Valle Del Cauca","El Cerrito","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26090750,"GALICIA  [26090750]","Pluviométrica","Convencional","Activa","15/02/1973",,1009,"3,6833333330","-76,28333333","Valle Del Cauca","El Cerrito","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Guabas,Sabaletas y Sonso",,,
26090760,"PRIMAVERA LA  [26090760]","Pluviométrica","Convencional","Activa","15/04/1977",,1062,"3,6666666670","-76,26666667","Valle Del Cauca","El Cerrito","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Guabas,Sabaletas y Sonso",,,
26090770,"SELVA LA  [26090770]","Pluviográfica","Convencional","Activa","15/05/1979",,1800,"3,6666666670","-76,30","Valle Del Cauca","Ginebra","Area Operativa 09 - Cauca-Valle-Caldas","FEDERACIÓN NACIONAL DE CAFETEROS","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26090780,"PORVENIR 1 EL  [26090780]","Pluviométrica","Convencional","Activa","15/02/1968",,1100,"3,6166666670","-76,25","Valle Del Cauca","El Cerrito","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26090790,"ACUEDUCTO BUGA  [26090790]","Pluviográfica","Convencional","Activa","15/07/1978",,960,"3,8833333330","-76,26666667","Valle Del Cauca","Buga","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Guadalajara y San Pedro",,,"Valle geografico Rio Cauca"
26090800,"VINCULO EL  [26090800]","Pluviométrica","Convencional","Suspendida","15/02/1969","15/01/1987",979,"3,8666666670","-76,28333333","Valle Del Cauca","Buga","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Guadalajara y San Pedro",,,
26090810,"CASETEJA  [26090810]","Pluviométrica","Convencional","Activa","15/09/1969",,3520,"3,4833333330","-76,06666667","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
